value_ozone,value_co,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),season,AQI
0.033631884,0.630745342,0.2325,0.0,703.25,14.975,65.675,70.0,55.275,3.375,80.75,71.4,2,31.0
0.040548105,0.697805643,0.2475,0.0,705.0,14.725,68.475,62.75,54.775,3.425,82.05,71.85,2,38.0
0.049536232,0.593167702,0.24,0.0,697.0,15.925,69.625,65.25,56.975,3.5,83.75,72.6,2,46.0
0.0416,0.513664596,0.2275,0.0,679.5,17.35,68.725,73.25,59.425,3.525,85.025,73.35,2,39.0
0.033870206,0.444620253,0.2025,0.0,618.75,17.725,67.65,77.5,60.05,3.675,87.625,73.0,2,31.0
0.032791304,0.370807453,0.2,0.0,650.25,18.725,68.175,79.75,61.6,4.625,111.375,74.95,2,30.0
0.032210526,0.339184953,0.1375,0.0,447.25,18.4,66.625,82.75,61.1,4.35,104.35,73.375,2,30.0
0.03504058,0.478881988,0.2,0.0,634.5,16.275,65.125,77.25,57.7,3.325,79.35,71.8,2,32.0
0.044982609,0.48136646,0.21,0.0,662.75,16.9,66.25,77.0,58.725,3.5,84.125,72.55,2,42.0
0.044171014,0.480745342,0.215,0.0,664.75,17.725,67.625,77.5,60.05,3.875,93.225,73.825,2,41.0
0.03609593,0.533333333,0.2175,0.0,671.5,17.2,67.2,76.5,59.2,3.55,85.5,74.225,2,33.0
0.032536232,0.500931677,0.215,0.0,677.25,16.45,65.55,77.0,57.95,3.6,86.3,73.9,2,30.0
0.030520349,0.47375,0.205,0.0,708.25,15.925,66.2,73.5,57.025,4.075,97.875,74.075,2,28.0
0.030411411,0.510423453,0.2125,0.0,651.0,16.35,65.8,75.75,57.775,3.75,90.5,73.4,2,28.0
0.041736994,0.4321875,0.2125,0.0,648.25,17.575,67.25,77.25,59.775,4.15,98.925,73.8,2,39.0
0.036543353,0.415576324,0.19,0.0,602.5,18.075,67.35,79.25,60.575,3.725,89.25,73.925,2,34.0
0.029061047,0.575700935,0.21,0.0,629.0,18.025,68.725,76.25,60.55,3.5,84.225,73.775,2,27.0
0.027668605,0.536875,0.2175,0.0,655.0,17.125,67.9,74.25,59.1,3.5,84.675,73.9,2,26.0
0.0295,0.409345794,0.1975,0.0,610.75,16.925,65.5,79.0,58.725,4.075,97.7,73.45,2,27.0
0.035616279,0.349221184,0.155,0.0,500.5,16.95,64.95,80.5,58.825,3.975,95.725,72.725,2,33.0
0.036930233,0.414641745,0.1675,0.0,535.25,17.6,65.975,81.0,59.875,4.075,97.425,72.875,2,34.0
0.04494186,0.432398754,0.195,0.0,599.25,18.15,67.075,80.75,60.725,3.975,96.1,73.475,2,42.0
0.041790698,0.471339564,0.1875,0.0,575.75,18.575,68.025,79.75,61.35,3.4,81.575,73.775,2,39.0
0.039883721,0.686292835,0.2225,0.0,663.5,19.275,70.275,77.25,62.45,3.525,84.45,74.35,2,37.0
0.038245614,0.710344828,0.2225,0.0,643.75,20.15,71.9,76.5,63.7,3.7,88.225,75.125,2,35.0
0.032115385,0.768253968,0.21,0.0,598.0,20.175,72.65,74.75,63.75,3.925,94.7,75.15,2,30.0
0.019714286,0.763924051,0.105,0.0,335.25,20.375,71.825,77.25,63.975,3.05,73.9,74.575,2,18.0
0.02579351,0.600628931,0.2175,0.0,619.5,19.0,72.2,71.75,62.0,3.65,87.375,74.575,2,24.0
0.030790698,0.465732087,0.225,0.0,649.0,18.75,71.05,73.25,61.625,3.675,87.5,74.85,2,29.0
0.037639535,0.447975078,0.215,0.0,643.25,19.275,70.775,75.5,62.425,3.8,91.5,74.85,2,35.0
0.023511628,0.441121495,0.2275,0.0,657.5,19.6,71.05,76.0,62.9,4.075,97.75,75.025,2,22.0
0.01972807,0.452037618,0.225,0.0,705.25,18.525,70.6,73.0,61.2,4.425,105.975,75.7,2,18.0
0.024005848,0.4225,0.2125,0.0,647.75,18.85,69.575,77.0,61.8,4.05,97.55,74.775,2,22.0
0.028688474,0.43875,0.21,0.0,635.5,19.0,69.7,77.0,62.025,4.175,99.875,74.8,2,27.0
0.030489097,0.514330218,0.1625,0.0,519.25,19.175,67.675,83.25,62.3,4.0,96.025,74.275,2,28.0
0.034557632,0.42834891,0.1775,0.0,555.0,18.375,67.25,80.75,61.05,4.1,98.4,74.025,2,32.0
0.0376875,0.3621875,0.1925,0.0,604.75,17.725,66.975,78.75,60.075,3.95,94.9,73.9,2,35.0
0.027,0.454375,0.1975,0.0,610.25,17.5,67.4,77.0,59.675,3.5,84.625,73.525,2,25.0
0.025400641,0.591059603,0.2325,0.0,661.25,16.3,71.5,62.75,57.625,3.275,78.325,73.475,2,24.0
0.028453074,0.598951049,0.2425,0.0,654.25,16.275,73.875,57.75,57.55,3.4,81.25,74.15,2,26.0
0.030201954,0.670774648,0.2375,0.0,643.5,16.725,73.475,60.5,58.3,3.325,79.675,74.45,2,28.0
0.029388889,0.576845638,0.22,0.0,674.25,18.0,68.775,75.5,60.475,3.675,88.325,73.75,2,27.0
0.034169096,0.3671875,0.1925,0.0,606.0,17.475,67.0,77.5,59.65,4.025,96.975,73.525,2,32.0
0.036947522,0.3340625,0.21,0.0,636.5,16.525,67.475,71.75,58.1,3.875,93.225,73.55,2,34.0
